vendor_code;title;title_avito;price;pack_massa;img1;img2;brand;color;color_name;length;width;count_in_pack;meters_in_pack;format;type;annotation;country;fat;factura_poverhnosti;osobennosti;for;iznosostoikost;poverhnost;decor;form
PR101;Керамогранит Primavera Onyx Аmber 60x60 см (PR101);Керамогранит Primavera Onyx Аmber 60x60;2752;29000;https://cdn1.ozone.ru/s3/multimedia-d/6426448705.jpg;"https://cdn1.ozone.ru/s3/multimedia-r/6426448683.jpg
https://cdn1.ozone.ru/s3/multimedia-s/6426449116.jpg
https://cdn1.ozone.ru/s3/multimedia-p/6426448681.jpg
https://cdn1.ozone.ru/s3/multimedia-t/6426448685.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6426448682.jpg
https://cdn1.ozone.ru/s3/multimedia-o/6426449148.jpg";PRIMAVERA;серый;Серый;60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Onyx Аmber 60x60 см (PR101)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Onyx Аmber 60x60 см (PR101)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под оникс;Квадрат
GR104;Керамогранит Primavera Richter Brown 60x60 см (GR104);Керамогранит Primavera Richter Brown 60x60;3223;29000;https://cdn1.ozone.ru/s3/multimedia-c/6426448848.jpg;"https://cdn1.ozone.ru/s3/multimedia-j/6426448747.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6426448850.jpg
https://cdn1.ozone.ru/s3/multimedia-v/6426448723.jpg
https://cdn1.ozone.ru/s3/multimedia-5/6426448733.jpg
https://cdn1.ozone.ru/s3/multimedia-3/6426448839.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6426448826.jpg
https://cdn1.ozone.ru/s3/multimedia-8/6426448844.jpg
https://cdn1.ozone.ru/s3/multimedia-k/6426448712.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6426448742.jpg
https://cdn1.ozone.ru/s3/multimedia-s/6426448828.jpg
https://cdn1.ozone.ru/s3/multimedia-v/6426448831.jpg
https://cdn1.ozone.ru/s3/multimedia-m/6426448822.jpg";PRIMAVERA;коричневый;"Коричневый;Бежевый";60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Richter Brown 60x60 см (GR104)
Общие свойства керамогранита
• Высокая твердость поверхности
• Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
• Стойкость к истиранию
• Низкое водопоглощение
• Высокая морозостойкость
• Высокая химическая стойкость к большинству кислот и щелочей
• Высокая прочность на изгиб
• Стойкость при перепадах температур
• Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Richter Brown 60x60 см (GR104)

• Подходит для всех типов жилых помещений.
• Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
• Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
• Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под мрамор;Квадрат
PR107;Керамогранит Primavera Salvatore 60x60 см (PR107);Керамогранит Primavera Salvatore 60x60;2752;29000;https://cdn1.ozone.ru/s3/multimedia-v/6426448687.jpg;"https://cdn1.ozone.ru/s3/multimedia-s/6426448684.jpg
https://cdn1.ozone.ru/s3/multimedia-n/6426448715.jpg
https://cdn1.ozone.ru/s3/multimedia-2/6426448694.jpg
https://cdn1.ozone.ru/s3/multimedia-x/6426448689.jpg
https://cdn1.ozone.ru/s3/multimedia-8/6426448736.jpg
https://cdn1.ozone.ru/s3/multimedia-1/6426448693.jpg
https://cdn1.ozone.ru/s3/multimedia-z/6426448727.jpg
https://cdn1.ozone.ru/s3/multimedia-w/6426448688.jpg";PRIMAVERA;белый;Белый;60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Salvatore 60x60 см (PR107)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Salvatore 60x60 см (PR107)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под мрамор;Квадрат
PR211;Керамогранит Primavera Namibia Black 60x120 см (PR211);Керамогранит Primavera Namibia Black 60x120;3393;31000;https://cdn1.ozone.ru/s3/multimedia-m/6424058314.jpg;"https://cdn1.ozone.ru/s3/multimedia-k/6426449144.jpg
https://cdn1.ozone.ru/s3/multimedia-p/6424058317.jpg
https://cdn1.ozone.ru/s3/multimedia-k/6424058312.jpg
https://cdn1.ozone.ru/s3/multimedia-o/6424058280.jpg";PRIMAVERA;черный;Черный;120;60;2;1,44;60 x 120;Керамогранит;"Керамогранит Primavera Namibia Black 60x120 см (PR211)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола
Особенности: Керамогранит Primavera Namibia Black 60x120 см (PR211)
Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под мрамор;Прямоугольник
TP66M28;Керамогранит Primavera Атаго 60x60 см (TP66M28);Керамогранит Primavera Атаго 60x60;2032;27000;https://cdn1.ozone.ru/s3/multimedia-u/6426448686.jpg;"https://cdn1.ozone.ru/s3/multimedia-e/6441152942.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6426448718.jpg
https://cdn1.ozone.ru/s3/multimedia-5/6426448697.jpg
https://cdn1.ozone.ru/s3/multimedia-b/6426448703.jpg
https://cdn1.ozone.ru/s3/multimedia-7/6426448699.jpg";PRIMAVERA;белый;Белый;60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Атаго 60x60 см (TP66M28)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Атаго 60x60 см (TP66M28)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Матовая поверхность плиты без отражений и блеска.

Страна производства Киргизия.";Киргизия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Матовая;Под мрамор;Квадрат
PR214;Керамогранит Primavera Honey Onyx Bianco 60x120 см (PR214);Керамогранит Primavera Honey Onyx Bianco 60x120;3124;31000;https://cdn1.ozone.ru/s3/multimedia-b/6426448919.jpg;"https://cdn1.ozone.ru/s3/multimedia-2/6426448910.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6426448886.jpg
https://cdn1.ozone.ru/s3/multimedia-0/6426448872.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6426448898.jpg
https://cdn1.ozone.ru/s3/multimedia-o/6426448932.jpg
https://cdn1.ozone.ru/s3/multimedia-w/6426448904.jpg
https://cdn1.ozone.ru/s3/multimedia-8/6426448916.jpg
https://cdn1.ozone.ru/s3/multimedia-f/6424046751.jpg
https://cdn1.ozone.ru/s3/multimedia-z/6426448943.jpg";PRIMAVERA;серый;Серый;120;60;2;1,44;60 x 120;Керамогранит;"Керамогранит Primavera Honey Onyx Bianco 60x120 см (PR214)
Общие свойства керамогранита
• Высокая твердость поверхности
• Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
• Стойкость к истиранию
• Низкое водопоглощение
• Высокая морозостойкость
• Высокая химическая стойкость к большинству кислот и щелочей
• Высокая прочность на изгиб
• Стойкость при перепадах температур
• Подходит для стен и для пола
Особенности: Керамогранита Primavera Honey Onyx Bianco 60x120 см (PR214)
• Подходит для всех типов жилых помещений.
• Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
• Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
• Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под оникс;Прямоугольник
TP66M10;Керамогранит Primavera Борзонти 60x60 см (TP66M10);Керамогранит Primavera Борзонти 60x60;2032;27000;https://cdn1.ozone.ru/s3/multimedia-f/6426448959.jpg;"https://cdn1.ozone.ru/s3/multimedia-f/6441191319.jpg
https://cdn1.ozone.ru/s3/multimedia-t/6426448937.jpg
https://cdn1.ozone.ru/s3/multimedia-m/6426448966.jpg
https://cdn1.ozone.ru/s3/multimedia-a/6426448954.jpg
https://cdn1.ozone.ru/s3/multimedia-t/6426448973.jpg";PRIMAVERA;черный;"Черный;Белый";60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Борзонти 60x60 см (TP66M10)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Борзонти 60x60 см (TP66M10)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Матовая поверхность плиты без отражений и блеска.

Страна производства Киргизия.";Киргизия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Матовая;Под мрамор;Квадрат
PR119;Керамогранит Primavera Honey Onyx Sky 60x60 см (PR119);Керамогранит Primavera Honey Onyx Sky 60x60;2752;29000;https://cdn1.ozone.ru/s3/multimedia-2/6426449018.jpg;"https://cdn1.ozone.ru/s3/multimedia-f/6426448815.jpg
https://cdn1.ozone.ru/s3/multimedia-a/6426448774.jpg
https://cdn1.ozone.ru/s3/multimedia-w/6426448796.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6426448790.jpg
https://cdn1.ozone.ru/s3/multimedia-x/6426448761.jpg
https://cdn1.ozone.ru/s3/multimedia-7/6426448771.jpg
https://cdn1.ozone.ru/s3/multimedia-v/6426448759.jpg
https://cdn1.ozone.ru/s3/multimedia-d/6426448813.jpg
https://cdn1.ozone.ru/s3/multimedia-x/6426449013.jpg
https://cdn1.ozone.ru/s3/multimedia-0/6426448800.jpg";PRIMAVERA;серый;"Серый;Бежевый";60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Honey Onyx Sky 60x60 см (PR119)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Honey Onyx Sky 60x60 см (PR119)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под оникс;Квадрат
PR102;Керамогранит Primavera Onyx Pink 60x60 см (PR102);Керамогранит Primavera Onyx Pink 60x60;2752;29000;https://cdn1.ozone.ru/s3/multimedia-q/6426449006.jpg;"https://cdn1.ozone.ru/s3/multimedia-6/6426448986.jpg
https://cdn1.ozone.ru/s3/multimedia-b/6426448991.jpg
https://cdn1.ozone.ru/s3/multimedia-y/6426448978.jpg
https://cdn1.ozone.ru/s3/multimedia-2/6426448946.jpg
https://cdn1.ozone.ru/s3/multimedia-j/6426448999.jpg";PRIMAVERA;бежевый;Бежевый;60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Onyx Pink 60x60 см (PR102)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок 
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Onyx Pink 60x60 см (PR102)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Полированный керамогранит имеет высокие декоративные свойства: роскошный внешний вид (зеркально ровная поверхность, глянцевый блеск), яркий и насыщенный цвет и рисунок.
Страна производства Индия.";Индия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Глянцевая;Под оникс;Квадрат
TP66M02;Керамогранит Primavera Сион 60x60 см (TP66M02);Керамогранит Primavera Сион 60x60;2032;27000;https://cdn1.ozone.ru/s3/multimedia-1/6426448801.jpg;"https://cdn1.ozone.ru/s3/multimedia-4/6441294304.jpg
https://cdn1.ozone.ru/s3/multimedia-z/6426449051.jpg
https://cdn1.ozone.ru/s3/multimedia-j/6426449071.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6426449066.jpg
https://cdn1.ozone.ru/s3/multimedia-a/6426449062.jpg
https://cdn1.ozone.ru/s3/multimedia-o/6426449076.jpg";PRIMAVERA;белый;"Серый;Бежевый";60;60;4;1,44;60 x 60;Керамогранит;"Керамогранит Primavera Сион 60x60 см (TP66M02)
Общие свойства керамогранита
Высокая твердость поверхности
Класс износостойкости PEI IV - подходит для средних и высоких нагрузок
Стойкость к истиранию
Низкое водопоглощение
Высокая морозостойкость
Высокая химическая стойкость к большинству кислот и щелочей
Высокая прочность на изгиб
Стойкость при перепадах температур
Подходит для стен и для пола

ОсобенностиКерамогранит Primavera Сион 60x60 см (TP66M02)

Подходит для всех типов жилых помещений.
Глазурованное покрытие дает сложный и богатый с художественной точки зрения рисунок.
Ректифицированный керамогранит можно укладывать с минимальными швами и создавать монолитные поверхности, он эффектно смотрится и прост в уходе.
Матовая поверхность плиты без отражений и блеска.

Страна производства Киргизия.";Киргизия;9;Гладкая;Ректифицированная;"Для балкона;Для бани и сауны;Для ванной;Для гостиной;Для детской;Для душа;Для коридора/прихожей;Для кухни;Для офиса/кабинета;Для спальни";PEI 4 постоянная проходимость;Матовая;Под бетон;Квадрат
